Tabela de observabilidade - Cinturão Principal - Zeiss


Iluninação da lua: 3.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                    |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
--------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
4 Vesta (A807 FA)         |   7.7 |   5.3 |       |       |       |       |       |       |       |       |       |       |  28.6 |  40.3 |  50.2 |
18 Melpomene (A852 MA)    |   8.9 |  11.6 |       |       |       |  29.6 |  42.4 |  54.6 |  64.8 |  69.9 |  66.2 |  56.5 |  44.6 |  31.9 |       |
8 Flora (A847 UA)         |   9.1 |  12.9 |       |       |       |  32.5 |  45.4 |  58.4 |  71.1 |  81.1 |  77.3 |  65.3 |  52.5 |  39.5 |  26.6 |
3 Juno (A804 RA)          |   9.2 |   7.2 |       |       |       |       |  22.1 |  34.8 |  46.7 |  56.8 |  63.1 |  62.6 |  55.7 |  45.2 |  33.1 |
2 Pallas (A802 FA)        |   9.8 |   7.8 |       |       |       |       |       |       |       |       |       |       |  30.0 |  41.3 |  50.6 |
324 Bamberga (A892 DA)    |   9.8 |  29.4 |       |       |       |       |  25.4 |  37.9 |  50.7 |  63.7 |  76.7 |  87.2 |  76.4 |  63.4 |  50.5 |
349 Dembowska (A892 XB)   |  10.1 |   4.7 |       |       |       |       |       |  21.4 |  34.0 |  46.9 |  59.9 |  72.8 |  83.5 |  78.1 |  65.6 |
9 Metis (A848 HA)         |  10.2 |   5.1 |       |       |       |       |       |       |       |  29.8 |  42.8 |  55.4 |  66.7 |  73.8 |  70.8 |
14 Irene (A851 KA)        |  10.3 |  15.0 |  20.6 |  33.2 |  46.0 |  59.0 |  71.9 |  83.0 |  78.8 |  66.4 |  53.4 |  40.5 |  27.7 |       |       |
29 Amphitrite (A854 EB)   |  10.5 |   5.4 |  39.6 |  52.4 |  65.3 |  78.3 |  87.5 |  75.2 |  62.2 |  49.3 |  36.6 |  24.2 |       |       |       |
192 Nausikaa (A879 DA)    |  10.8 |  13.6 |       |       |       |       |       |       |       |       |       |  31.7 |  43.2 |  52.7 |  58.4 |
409 Aspasia (A895 XC)     |  10.8 |   9.0 |       |       |       |  27.5 |  40.2 |  52.3 |  62.5 |  68.1 |  65.4 |  56.5 |  44.9 |  32.4 |       |
354 Eleonora (A893 BC)    |  10.9 |   4.3 |       |       |       |       |       |       |  29.4 |  42.3 |  54.5 |  65.0 |  70.4 |  67.0 |  57.4 |
21 Lutetia (A852 VA)      |  11.1 |   8.2 |  34.1 |  47.1 |  60.0 |  72.3 |  80.3 |  74.5 |  62.6 |  49.7 |  36.8 |  23.9 |       |       |       |
306 Unitas (A891 EA)      |  11.2 |   8.7 |       |       |       |       |       |  20.8 |  33.8 |  46.4 |  58.2 |  67.5 |  70.1 |  64.0 |  53.4 |
455 Bruchsalia (A900 KC)  |  11.2 |  11.8 |       |       |       |  29.7 |  41.6 |  53.8 |  66.0 |  78.0 |  84.6 |  74.7 |  62.5 |  50.3 |  38.2 |
